show_id,type,title,country,date_added,release_year,rating,duration,Genre,description,Platform
s1148,Movie,Princess Protection Program,United States,2019-11-12,2009,TV-G,90,Comedy,Royalty and roughing it collide when a princess moves in with a tomboy.,Disney
s1148,Movie,Princess Protection Program,United States,2019-11-12,2009,TV-G,90,Coming of Age,Royalty and roughing it collide when a princess moves in with a tomboy.,Disney
s1149,Movie,Purl,United States,2019-11-12,2019,PG,12,Animation,Purl gets a job at a start-up and must decide how far is she willing to go to be accepted.,Disney
s1149,Movie,Purl,United States,2019-11-12,2019,PG,12,Comedy,Purl gets a job at a start-up and must decide how far is she willing to go to be accepted.,Disney
s1149,Movie,Purl,United States,2019-11-12,2019,PG,12,Family,Purl gets a job at a start-up and must decide how far is she willing to go to be accepted.,Disney
s1150,TV Show,Quack Pack,United States,2019-11-12,1996,TV-Y,450,Action-Adventure,"This cartoon follows on from the 1980's cartoon ""DuckTales"".",Disney
s1150,TV Show,Quack Pack,United States,2019-11-12,1996,TV-Y,450,Animation,"This cartoon follows on from the 1980's cartoon ""DuckTales"".",Disney
s1150,TV Show,Quack Pack,United States,2019-11-12,1996,TV-Y,450,Comedy,"This cartoon follows on from the 1980's cartoon ""DuckTales"".",Disney
s1151,Movie,Queen of Katwe,United States,2019-11-12,2016,PG,125,Biographical,A Ugandan girl’s life changes forever when she discovers she has an amazing talent for chess.,Disney
s1151,Movie,Queen of Katwe,United States,2019-11-12,2016,PG,125,Drama,A Ugandan girl’s life changes forever when she discovers she has an amazing talent for chess.,Disney
s1151,Movie,Queen of Katwe,United States,2019-11-12,2016,PG,125,Sports,A Ugandan girl’s life changes forever when she discovers she has an amazing talent for chess.,Disney
s1152,Movie,Quints,Canada,2019-11-12,2000,TV-G,83,Comedy,Jamie is the center of attention until her mom gives birth to quintuplets.,Disney
s1152,Movie,Quints,Canada,2019-11-12,2000,TV-G,83,Coming of Age,Jamie is the center of attention until her mom gives birth to quintuplets.,Disney
s1152,Movie,Quints,United States,2019-11-12,2000,TV-G,83,Comedy,Jamie is the center of attention until her mom gives birth to quintuplets.,Disney
s1152,Movie,Quints,United States,2019-11-12,2000,TV-G,83,Coming of Age,Jamie is the center of attention until her mom gives birth to quintuplets.,Disney
s1153,Movie,Ratatouille,United States,2019-11-12,2007,G,111,Animation,A determined young rat dreams of becoming a French chef.,Disney
s1153,Movie,Ratatouille,United States,2019-11-12,2007,G,111,Comedy,A determined young rat dreams of becoming a French chef.,Disney
s1153,Movie,Ratatouille,United States,2019-11-12,2007,G,111,Family,A determined young rat dreams of becoming a French chef.,Disney
s1154,Movie,Read It and Weep,United States,2019-11-12,2006,TV-G,85,Comedy,Jamie's journal accidentally becomes a best-selling book.,Disney
s1154,Movie,Read It and Weep,United States,2019-11-12,2006,TV-G,85,Coming of Age,Jamie's journal accidentally becomes a best-selling book.,Disney
