show_id,type,title,country,date_added,release_year,rating,duration,Genre,description,Platform
s1187,Movie,Secrets of the King Cobra,India,2019-11-12,2012,TV-PG,47,Documentary,A new scientific expedition follows the king cobra into the wild for the first time.,Disney
s1188,TV Show,Shake It Up,United States,2019-11-12,2010,TV-G,1350,Buddy,Best friends attend high school and dance professionally.,Disney
s1188,TV Show,Shake It Up,United States,2019-11-12,2010,TV-G,1350,Comedy,Best friends attend high school and dance professionally.,Disney
s1188,TV Show,Shake It Up,United States,2019-11-12,2010,TV-G,1350,Coming of Age,Best friends attend high school and dance professionally.,Disney
s1189,Movie,Sharks of Lost Island,United States,2019-11-12,2013,TV-PG,45,Action-Adventure,A team of explorers sets out to explore the sea and land of the remote Pitcairn Islands.,Disney
s1189,Movie,Sharks of Lost Island,United States,2019-11-12,2013,TV-PG,45,Animals & Nature,A team of explorers sets out to explore the sea and land of the remote Pitcairn Islands.,Disney
s1189,Movie,Sharks of Lost Island,United States,2019-11-12,2013,TV-PG,45,Documentary,A team of explorers sets out to explore the sea and land of the remote Pitcairn Islands.,Disney
s1190,Movie,Sharpay's Fabulous Adventure,United States,2019-11-12,2011,TV-G,92,Comedy,Aspiring diva Sharpay leaves suburbia and hits Broadway…and hits it hard.,Disney
s1190,Movie,Sharpay's Fabulous Adventure,United States,2019-11-12,2011,TV-G,92,Coming of Age,Aspiring diva Sharpay leaves suburbia and hits Broadway…and hits it hard.,Disney
s1190,Movie,Sharpay's Fabulous Adventure,United States,2019-11-12,2011,TV-G,92,Music,Aspiring diva Sharpay leaves suburbia and hits Broadway…and hits it hard.,Disney
s1191,Movie,Shipwrecked,Norway,2019-11-12,1991,PG,93,Action-Adventure,A cabin boy must outwit a ruthless gang of pirates while shipwrecked on a jungle island.,Disney
s1191,Movie,Shipwrecked,Norway,2019-11-12,1991,PG,93,Coming of Age,A cabin boy must outwit a ruthless gang of pirates while shipwrecked on a jungle island.,Disney
s1191,Movie,Shipwrecked,Norway,2019-11-12,1991,PG,93,Family,A cabin boy must outwit a ruthless gang of pirates while shipwrecked on a jungle island.,Disney
s1191,Movie,Shipwrecked,Sweden,2019-11-12,1991,PG,93,Action-Adventure,A cabin boy must outwit a ruthless gang of pirates while shipwrecked on a jungle island.,Disney
s1191,Movie,Shipwrecked,Sweden,2019-11-12,1991,PG,93,Coming of Age,A cabin boy must outwit a ruthless gang of pirates while shipwrecked on a jungle island.,Disney
s1191,Movie,Shipwrecked,Sweden,2019-11-12,1991,PG,93,Family,A cabin boy must outwit a ruthless gang of pirates while shipwrecked on a jungle island.,Disney
s1191,Movie,Shipwrecked,United States,2019-11-12,1991,PG,93,Action-Adventure,A cabin boy must outwit a ruthless gang of pirates while shipwrecked on a jungle island.,Disney
s1191,Movie,Shipwrecked,United States,2019-11-12,1991,PG,93,Coming of Age,A cabin boy must outwit a ruthless gang of pirates while shipwrecked on a jungle island.,Disney
s1191,Movie,Shipwrecked,United States,2019-11-12,1991,PG,93,Family,A cabin boy must outwit a ruthless gang of pirates while shipwrecked on a jungle island.,Disney
s1192,TV Show,Silver Surfer,United States,2019-11-12,1997,TV-Y7,450,Action-Adventure,The adventures of the cosmic wanderer as he seeks his lost home after rebelling from his master.,Disney
s1192,TV Show,Silver Surfer,United States,2019-11-12,1997,TV-Y7,450,Animation,The adventures of the cosmic wanderer as he seeks his lost home after rebelling from his master.,Disney
s1192,TV Show,Silver Surfer,United States,2019-11-12,1997,TV-Y7,450,Kids,The adventures of the cosmic wanderer as he seeks his lost home after rebelling from his master.,Disney
s1192,TV Show,Silver Surfer,Canada,2019-11-12,1997,TV-Y7,450,Action-Adventure,The adventures of the cosmic wanderer as he seeks his lost home after rebelling from his master.,Disney
s1192,TV Show,Silver Surfer,Canada,2019-11-12,1997,TV-Y7,450,Animation,The adventures of the cosmic wanderer as he seeks his lost home after rebelling from his master.,Disney
s1192,TV Show,Silver Surfer,Canada,2019-11-12,1997,TV-Y7,450,Kids,The adventures of the cosmic wanderer as he seeks his lost home after rebelling from his master.,Disney
s1193,Movie,Simpsons Movie,United States,2019-11-12,2007,PG-13,88,Action-Adventure,Homer must save the world from a catastrophe he himself created.,Disney
s1193,Movie,Simpsons Movie,United States,2019-11-12,2007,PG-13,88,Animation,Homer must save the world from a catastrophe he himself created.,Disney
s1193,Movie,Simpsons Movie,United States,2019-11-12,2007,PG-13,88,Comedy,Homer must save the world from a catastrophe he himself created.,Disney
s1194,Movie,Sister Act,United States,2019-11-12,1992,PG,101,Comedy,A low-rent lounge singer is forced to hide out from the mob in a convent.,Disney
s1194,Movie,Sister Act,United States,2019-11-12,1992,PG,101,Crime,A low-rent lounge singer is forced to hide out from the mob in a convent.,Disney
